start_year,end_year,length,midpoint,proxy_1,proxy_2,proxy_3,proxy_4,population
-975,-925,50,-950,1.19,0.00,0.00,0.00,560
-925,-875,50,-900,0.29,0.00,0.00,0.00,
-875,-825,50,-850,0.29,0.00,0.00,0.00,
-825,-775,50,-800,0.29,0.00,0.00,0.00,
-775,-725,50,-750,0.29,0.00,0.00,0.00,
-725,-675,50,-700,1.15,0.28,0.00,0.06,
-675,-625,50,-650,2.27,0.55,0.00,0.13,
-625,-575,50,-600,2.89,0.55,0.00,0.13,
-575,-525,50,-550,2.89,0.55,0.00,0.13,
-525,-475,50,-500,5.26,4.18,0.00,0.13,
-475,-425,50,-450,7.64,7.80,0.00,0.13,
-425,-375,50,-400,4.68,7.93,0.00,0.13,
-375,-325,50,-350,2.25,8.05,0.00,0.13,
-325,-275,50,-300,16.20,9.92,0.52,0.06,
-275,-225,50,-250,30.14,11.79,1.04,0.00,
-225,-175,50,-200,58.45,20.91,2.87,0.00,
-175,-125,50,-150,93.74,30.40,5.21,0.00,
-125,-75,50,-100,146.74,36.05,29.23,0.00,
-75,-25,50,-50,200.20,48.71,36.30,0.00,
-25,25,50,0,262.66,72.49,49.31,0.00,
25,75,50,50,483.83,103.33,79.54,0.00,
75,125,50,100,623.83,109.18,93.58,0.00,
125,175,50,150,595.06,84.75,62.36,0.00,13430
175,225,50,200,583.90,66.77,30.08,0.00,
225,275,50,250,527.19,46.89,13.44,0.00,
275,325,50,300,425.87,23.46,0.19,0.00,
325,375,50,350,257.83,26.27,0.19,0.00,
375,425,50,400,156.52,22.84,0.19,0.00,
425,475,50,450,152.23,11.48,0.31,0.00,
475,525,50,500,231.04,21.95,11.15,0.00,
525,575,50,550,300.17,40.80,19.43,0.00,
575,625,50,600,372.78,71.87,29.92,0.00,
625,675,50,650,149.40,62.90,10.46,0.00,
675,725,50,700,18.90,131.16,13.08,0.30,
725,775,50,750,7.86,158.57,13.32,0.60,205400
775,825,50,800,3.91,114.43,7.11,1.35,302900
825,875,50,850,0.46,43.03,0.23,0.10,
875,925,50,900,0.46,39.22,0.23,0.10,249700
925,975,50,950,0.46,37.92,0.23,1.10,
975,1025,50,1000,0.46,34.27,0.16,1.10,
1025,1075,50,1050,0.46,28.39,0.09,0.10,
1075,1125,50,1100,0.52,43.48,0.63,0.10,
1125,1175,50,1150,0.59,60.66,1.16,0.10,258800
1175,1225,50,1200,0.67,115.70,1.87,0.05,
