"midpoint","pop_upper_90CI","pop_upper_50CI","post_pop_mean","pop_lower_50CI","pop_lower_90CI"
-950,30.7954318416922,131.8691500195,362.825892286458,998.282222142163,4274.74531905219
-900,42.3385860416319,172.749269210726,459.593480562688,1222.73262480818,4988.97547424058
-850,58.883979577944,228.928563249214,588.925282440631,1515.02714809865,5890.10781512617
-800,81.8951073974523,303.377764263766,754.65167145788,1877.19474634611,6954.0069404914
-750,113.898698146964,402.038376266257,967.014258369153,2325.93859465283,8210.0725566034
-700,161.035837600686,541.619444147854,1259.68567339168,2929.74709991224,9853.75689902637
-650,225.226136526131,721.794316706696,1623.24463699724,3650.51800845784,11699.0114565794
-600,313.585950329485,957.578150802101,2082.31928964011,4528.1459485842,13827.3210883695
-550,436.131444658415,1268.98939291347,2668.29388937688,5610.60030906934,16324.8772068301
-500,613.072311520251,1699.71166412498,3455.83898822609,7026.3818061705,19480.2846061155
-450,861.062926720393,2275.85152489976,4475.89195020901,8802.68705175227,23266.137849239
-400,1178.33230437401,2970.56248908627,5653.04400456867,10757.8637497101,27120.4535418104
-350,1615.64236178506,3884.51264915317,7152.52455709178,13169.8908358436,31664.5618794482
-300,2277.58272405086,5222.18531635222,9303.16808196939,16573.3177048244,38000.3481091742
-250,3189.53698939638,6979.24385876738,12035.4543327984,20754.7069464998,45414.7926418276
-200,4594.18997591817,9600.50998470321,16033.7132248419,26777.7399519489,55957.6249837367
-150,6552.20395388712,13100.2635294253,21216.0277667459,34359.6014834583,68697.4699455593
-100,9372.10615490096,17961.8150470871,28245.179089916,44415.8978215738,85123.8908987646
-50,13076.5469206299,24078.1300199282,36823.0885403257,56314.1676087981,103692.500617996
0,18432.9459837581,32676.0162330693,48668.4879616769,72488.0812759164,128499.357756647
50,28246.7740924074,48329.2825708121,70229.1758309229,102052.769574308,174608.864069063
100,36670.5099861597,60823.5649013601,86495.6187128002,123003.182543528,204019.307594408
150,38758.6074700428,62424.6653232656,86974.9732527817,121180.400938453,195173.316744389
200,42158.4574751071,65850.2473535949,89811.0242326968,122490.353459328,191326.261841737
250,44690.5766411034,67627.7051135643,90223.3281113132,120368.551939063,182146.876305794
300,44995.8491480136,65860.3556950816,85853.4854183545,111915.899643859,163811.131427553
350,46087.477630975,65074.8516636476,82732.5676360998,105181.611216571,148514.91336687
400,50079.4896661725,68014.1482665302,84160.5604083665,104140.095976705,141435.14591433
450,61301.2362710012,79876.7921359991,96031.2443511647,115452.807317695,150437.421047504
500,89695.3091698552,112022.393546146,130761.937406521,152636.305412126,190630.752405651
550,127843.440005429,153482.539897133,174300.248249556,197941.580587725,237638.916307061
600,181177.409089507,209634.575770036,232034.652799537,256828.244587204,297167.73393753
650,162701.589443335,181939.333711978,196653.110187066,212556.81746899,237689.415810625
700,219151.825721458,235772.435725391,248076.523287734,261022.715472173,280818.839651146
750,288385.556911047,298936.519759952,306505.625177461,314266.38117305,325764.227833378
800,302900,302900,302900,302900,302900
850,NA,NA,NA,NA,NA
900,NA,NA,NA,NA,NA
950,NA,NA,NA,NA,NA
1000,NA,NA,NA,NA,NA
1050,NA,NA,NA,NA,NA
1100,NA,NA,NA,NA,NA
1150,NA,NA,NA,NA,NA
1200,NA,NA,NA,NA,NA
